Tiempo total (min),Tiempo de Vuelo (min),Voltaje Inicial (V),Voltaje Final (V),Caída de Voltaje(sag) (V),Voltaje Mínimo (V),Voltaje Máximo (V),I Máxima (A),I Promedio (A),Potencia Promedio (W),Potencia Máxima (W),Energía Consumida (Wh),mAh Consumidos,C-rate Promedio,SOH,Eficiencia Energética (%)
3.075044369697571,1.5061045050621034,12.208,11.979000000000001,0.4557333333333329,3.228,12.213000000000001,18.650000000000002,15.618890554722629,174.05086536731633,209.93687000000003,4.399454258664357,392.0613571423281,2.4029062391880966,96.88888888888889,295.5629330644523
2.2167925516764324,1.4130913217862446,12.13,11.954,0.42719999999999914,11.36,12.133000000000001,5.46,4.843868954758186,55.51391692667704,62.112959999999994,1.3462149649133692,114.08048639731001,0.7452106084243363,96.26984126984127,117.67613329662308
6.70229320526123,0.5572485089302063,11.949,11.598,0.4449333333333332,10.578,11.963000000000001,16.65,5.542442748091598,62.78149122137403,177.33915,5.219907680208937,51.47529928675129,0.8526834997063997,94.83333333333333,228.7927977299562
3.375420884291331,1.3982301513353983,12.398,12.005,0.6147333333333318,9.528,12.407,18.71,15.39484899328859,165.79685884228172,202.93155000000002,3.873902925727952,358.75903396119185,2.368438306659783,98.39682539682538,151.65014389226707
1.574429174264272,0.5796706914901734,12.303,12.124,0.6085333333333356,8.505,12.313,16.17,10.714390243902434,110.87955430894304,174.71720000000002,1.074076439188276,103.51363335964152,1.6483677298311437,97.64285714285714,92.3142620703287
7.341259324550629,6.651072239875793,11.790000000000001,11.155,0.28773333333333007,10.399000000000001,11.799,22.46,19.00331307962906,202.76439023664932,234.23534,22.427397096286423,2106.5401348264904,2.92358662763524,93.57142857142857,543.3651628415837
5.624947643280029,2.220434538523356,12.243,11.936,0.37460000000000093,1.999,12.266,17.0,14.052210526315784,156.75804884210527,191.25,2.8002511310439977,520.0335599205507,2.1618785425101206,97.16666666666666,140.3282952164367
17.32598172823588,0.35198620955149335,12.255,11.933,0.5805999999999987,11.027000000000001,12.257,8.790000000000001,8.081466666666662,90.64399046666668,99.34458000000001,1.9879914749533276,47.409413660279,1.2433025641025635,97.26190476190476,94.98287027966181
4.966498605410258,4.001263598601024,12.338000000000001,11.386000000000001,0.300533333333334,10.426,12.345,21.330000000000002,17.275256410256436,187.41978556561133,230.91858000000002,12.568051531069942,1152.0475771809677,2.657731755424067,97.92063492063492,203.10361233144704
2.364698028564453,0.22020037968953451,12.406,11.835,0.5305333333333309,10.574,12.413,20.32,11.512019230769234,130.05214605769237,223.11360000000002,4.096250229976076,42.24918342681014,1.7710798816568052,98.46031746031746,110.36643486396545
9.165263013044994,8.658494619528453,12.489,11.427,0.6404666666666667,10.673,12.499,18.990000000000002,16.23019878520154,181.0218244864723,220.81207,26.13335689515167,2342.151480925746,2.4969536592617754,99.11904761904762,378.5797029574336
5.071323386828104,1.2281880021095275,12.442,12.211,0.30813333333333226,11.421,12.467,19.0,15.334718045112771,179.01336625939854,219.71054,5.946800183815747,313.89861197899955,2.359187391555811,98.74603174603173,396.0572882994173
14.703827838102976,2.127210855484009,12.194,10.936,0.29026666666666756,10.884,12.206,22.150000000000002,16.26106723585913,183.79791389541106,244.49170000000004,14.596388975401458,576.5119790979148,2.5017026516706355,96.77777777777777,178.50542956342724
